Scenario,mae,rmse,crps,calibration_error
Standard Test,4.097683429718018,25.190839767456055,7.532012939453125,0.33099999999999996
OOD Mechanisms,0.40657973289489746,0.5601151585578918,1.235927700996399,0.44300000000000006
OOD Density,34.62531661987305,136.80174255371094,59.43293762207031,0.172
Realistic Mix,2.295559883117676,10.921371459960938,4.345535755157471,0.368
